s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX,accumulated_sentiment
,170.68,170.68,170.68,170.68,0.0,1997-12-07,172.4521513,34.72430069,65.27569931,44.06571899,
,170.54,170.54,170.54,170.54,0.0,1997-12-08,172.2149362,32.28564292,67.71435708,42.33831802,
,170.24,170.24,170.24,170.24,0.0,1997-12-09,172.0014426,27.17386484,72.82613516,43.00110848,
,171.14,171.14,171.14,171.14,0.0,1997-12-10,171.8092983,54.30478586,45.69521414,36.12280113,
,171.19,171.19,171.19,171.19,0.0,1997-12-11,171.6363685,55.45715788,44.54284212,31.08110406,
,170.56,170.56,170.56,170.56,0.0,1997-12-14,171.4807316,39.69181278,60.30818722,28.98815813,
,170.16,170.16,170.16,170.16,0.0,1997-12-15,171.3406585,32.38512012,67.61487988,30.23647846,
,170.11,170.11,170.11,170.11,0.0,1997-12-16,171.2145926,31.4796587,68.5203413,31.59731929,
,170.9,170.9,170.9,170.9,0.0,1997-12-17,171.1011334,55.85580822,44.14419178,27.62017872,
,171.7,171.7,171.7,171.7,0.0,1997-12-18,170.08,69.56238744,30.43761256,29.92109795,
,170.83,170.83,170.83,170.83,0.0,1997-12-21,170.1124,48.91594474,51.08405526,24.37050046,
,170.57,170.57,170.57,170.57,0.0,1997-12-22,170.144152,44.03369497,55.96630503,21.88292238,
,170.52,170.52,170.52,170.52,0.0,1997-12-23,170.175269,43.00196854,56.99803146,20.30555049,
,170.94,170.94,170.94,170.94,0.0,1997-12-24,170.2057636,54.25589056,45.74410944,17.94679662,
,170.74,170.74,170.74,170.74,0.0,1997-12-25,170.2356483,48.54999342,51.45000658,14.93743993,
,170.83,170.83,170.83,170.83,0.0,1997-12-28,170.2649353,51.42358491,48.57641509,12.51938591,
,170.7,170.7,170.7,170.7,0.0,1997-12-30,170.2936366,46.71286823,53.28713177,11.33036143,
,170.93,170.93,170.93,170.93,0.0,1997-12-31,170.3217639,55.68971266,44.31028734,11.34017421,
,170.21,170.21,170.21,170.21,0.0,1998-01-04,171.7,33.56423115,66.43576885,15.64644691,
,170.23,170.23,170.23,170.23,0.0,1998-01-05,171.6702,34.46824906,65.53175094,18.7298579,
,170.39,170.39,170.39,170.39,0.0,1998-01-06,171.640996,42.31735577,57.68264423,18.05694401,
,170.32,170.32,170.32,170.32,0.0,1998-01-07,171.6123761,39.71587474,60.28412526,18.55920532,
,170.69,170.69,170.69,170.69,0.0,1998-01-08,171.5843286,57.12907779,42.87092221,17.69899537,
